,tdata.id,tdata.member_id,tdata.funded_amnt_inv,tdata.int_rate,tdata.fico_range_high,tdata.fico_range_low,tdata.total_pymnt,tdata.total_rec_late_fee,pred,tdata.grade,tdata.emp_name,tdata.title,tdata.addr_city,tdata.pub_rec_bankruptcies,tdata.next_pymnt_d,tdata.Churn,m1.yhat (Probability of defaulting)
8362,561454,722563,22000,0.2164,664,660,3007.35,0,603.13,G,Winters Joint Unified School District,Consolidation loan,Winters,0,null,1,0.986011377
17948,803805,1009603,20000,0.2248,664,660,2547.39,0,557.86,G,US Army,consolidated loan,chester,0,null,1,0.984097167
14063,703022,894924,19975,0.2048,669,665,3210.21,0,535.24,G,United Launch Alliance,E's Loan Consolidation,Castle Roce,0,null,1,0.979045229
24880,1053763,1285365,21325,0.2089,684,680,1151.2,0,576.27,F,"16th MP BDE, U.S. Army",Debt Consolidation Loan,Linden,0,null,1,0.972214947
19964,857547,1070018,23975,0.1749,709,705,1803.6,0,602.81,D,maxim integrated products,get it started,portland,0,null,1,0.964484207
12454,656642,839834,19975,0.164,709,705,978.9,0,490.63,E,Nationwide Insurance,Jawad's Personal Loan,Elk Grove,0,null,1,0.963712222
19148,835894,1045887,15000,0.2211,664,660,2900.31,0,415.23,G,Kaiser Permanente,Debt Consolidation,Vancouver,0,null,1,0.960126923
11956,644361,824552,17975,0.1595,699,695,435.3,0,437.25,E,Marriott Marina Del Rey ,bills,north hollywood,0,null,1,0.960030932
27235,589500,757285,9250,0.2164,669,665,759.31,0,351.55,G,McCabe Software,Darren's Consolidation ,Wrentham,0,4/13/2011,1,0.959614212
23158,1009531,1236281,22000,0.2206,664,660,2429.56,0,608.37,F,Village of Mt pleasant,Debt consolidation,Union grove,0,null,1,0.959124554
9152,581198,747071,14475,0.2127,679,675,2760.8,0,394.48,G,AMERIGAS,Inventory,Norristown,0,null,1,0.958927876
27398,634109,800479,16300,0.2114,669,665,3559.31,0,444.97,G,Ross County License Bureau,Future,Chillicothe,1,1/28/2012,1,0.957766164
6595,520417,672800,8273.796521,0.2053,669,665,604.75,0,227.72,G,conicelli toyota,skipp's redemption,glenolden,0,null,1,0.953806899
18537,819404,1027507,17624.99375,0.2062,679,675,1341.36,0,671.01,F,Department of Veterans Affairs,Small Business,Kissimmee,0,null,1,0.951714829
25347,1063393,1295948,23225,0.203,689,685,3093.5,0,619.88,E,The Crexent Business Centers,FREEDOM debt,Jacksonville,0,null,1,0.9511004
13868,695753,886871,19950,0.2085,679,675,5391.17,0,539.39,G,Razorfish,My 2011 Debt Consolidation,Chicago,0,null,1,0.950995854
12793,664512,849671,24975,0.1602,729,725,3037.88,0,608.22,D,New Bedford Scale Co.Inc,Credit Card Consolidation,New Bedford,0,null,1,0.950482709
22750,998521,1223683,17600,0.1864,684,680,903.94,0,453.08,E,Mt. Carmel Health System,Website Purchase,Westerville,0,null,1,0.949931215
24544,1045472,1275880,17625,0.203,664,660,937.4,0,469.91,E,"Champion Realty, Inc.",Debt Free Consolidation,PASADENA,0,null,1,0.949849299
24472,1043299,1273414,19975,0.2089,669,665,2156,0,539.84,F,Beth israel medical center,Debt condolidation,union,0,null,1,0.949575271
25280,1062146,1294204,24475,0.2089,694,690,3994.86,0,661.3,F,Investigroup,Credit refinance,HILLSIDE,0,null,1,0.948564094
19204,837434,1023099,20000,0.1839,694,690,2048.24,0,512.13,E,GRB Entertainment,"$20,000 Consolidation Loan needed",LOS ANGELES,0,null,1,0.946003073
25618,821564,1029915,8925,0.2211,669,665,1016.4,0,0,G,Nevhc,Bussiness,Glendale,0,null,1,0.94524317
25633,706424,898629,7000,0.2011,674,670,314.48,0,0,G,Vonage,Wedding Loan,orlando,0,null,1,0.945232233
15689,745292,943855,21760.61,0.1749,729,725,2096.48,0,558.85,D,IBM Corporation,PersonalLoan,FREMONT,0,null,1,0.94468918
10424,610015,782385,9950,0.2114,679,675,1883.25,0,377.47,G,milton ruben,new beginning,waynesboro,1,null,1,0.944341997
22457,989253,1213209,24000,0.2089,689,685,4030.71,0,647.8,F,chicago park district,loan,chicago,1,null,1,0.943960942
19563,846913,1058348,17975,0.1799,684,680,1178,0,268.3,E,Contemp. Nursing Services and Union Hosp,Credit Card Debt Consolidation,Parkville,0,null,1,0.942636608
10334,608230,780251,18250,0.1632,694,690,1696.19,0,446.92,E,University of Arkansas,Patricks first lending club loan,Fayetteville,0,null,1,0.938014187
9200,582740,748862,18475,0.1756,714,710,1980.66,0,528.25,E,Keenland Incorporated ,Down payment,smyrna,0,null,1,0.935502874
22137,979287,1202366,25000,0.2235,669,665,4858.35,0,695.46,F,LBUSD/Jefferson Middle School,consolidate loans,Westminster,0,null,1,0.934674539
25612,440371,522264,18975,0.1565,724,720,899.44,0,0,D,California Time Express,Investing in Business Opportunity,Glendale,0,null,1,0.933559191
5290,492654,630103,19726.66,0.157,679,675,2070.48,0,691.47,D,Colorado State University,Need help with credit card debt!!!!,Denver,0,null,1,0.931723084
4581,478200,607054,19551.66,0.1565,679,675,2055,0,685.73,D,Federal Bureau of Prisons,PayitOff,Tacoma,1,null,1,0.930297041
27356,618843,793234,5950,0.2114,664,660,808.95,0,162.8,G,IGT,Jenn's Loan,Richland,1,10/3/2011,1,0.929134041
12611,660438,844688,15730.58,0.1454,684,680,550.6,0,551.05,D,US POST OFFICE,debt consolidation loan,SAN FRANCISCO,0,null,1,0.928970317
14343,710743,903527,16000,0.1714,684,680,1195.17,0,398.85,E,Lykins Oil,Debt Consolidation Loan,Newtonsville,1,null,1,0.928584769
10494,611640,784342,17486.18,0.152,694,690,1385.3,0,695.27,D,Inter-Trade Markets INC.,Debt Cons.,San Diego,0,null,1,0.928379187
2371,420457,493753,5000,0.1916,664,660,582.59,0,183.69,G,"Simple Home Buyer, Inc",Mobile Home Business Loan,Rocky Face,0,null,1,0.926566242
19024,832765,1042198,20225,0.2099,674,670,3276.6,0,547.72,F,UNITED STATES NAVY,DEBT CONSOLIDATION,Belfair,0,null,1,0.92590444
24162,1036707,1266569,20000,0.1758,694,690,2183.74,0,503.32,D,M & R Motors,Pay Down Debt,Los Angeles,0,null,1,0.925385179
15460,738778,936242,15990.48802,0.1879,704,700,1389.99,0,464.21,E,ojai oil company,home improvement loan,ventura,0,null,1,0.925307088
25639,702165,894023,19000,0.1417,764,760,0,0,0,C,novartis ,refinancing ,pinebrook,0,null,1,0.922940479
7072,531027,686598,16274.99702,0.1632,689,685,880.84,0,440.8,D,Perpetual Digital Solutions,GTE,Duarte,1,null,1,0.921669054
15774,747349,946270,24575,0.1749,714,710,4130.49,0,617.25,D,Portfolio Recovery Associates,Consolidate Debts,Virginia Beach,1,null,1,0.921359677
3877,461525,576861,16626.07,0.1774,689,685,1955.44,0,612.36,E,JWP INC,Great Opp For Expanding,Ocala,0,null,1,0.92082635
25185,1060086,1291922,16000,0.1758,689,685,803.94,0,402.65,D,Rodney Lough Galleries,Debt Consolidation Loan,HENDERSON,0,null,1,0.919645079
18754,825164,1033927,5125,0.2211,664,660,1171.98,0,391.01,G,Barbours towing,Moving Loan,Wake Forest,0,null,1,0.918024422
24341,1040196,1270150,22000,0.2089,679,675,4280.04,0,593.82,F,Robins Air Force Base,2011,WARNER ROBINS,0,null,1,0.91716772
26041,264152,264138,6150,0.1861,659,655,1466.1,0,241.55,G,Chase Home Loans,Home Improvement,Dover,1,1/3/2009,1,0.915003214
15159,731565,927641,22267.63,0.1751,684,680,4314.24,0,617.52,E,"Cty of Huber Heights, Ohio",Consolidation CC ,Tipp City,0,null,1,0.911767733
22346,986491,1210464,24975,0.1903,759,755,5350.2,0,648.93,E,Fronterra Integrated Geosciences,Debt Consolidation,Houston,0,null,1,0.911424597
16530,767654,968804,19200,0.1749,699,695,2409.45,0,482.25,D,minova usa inc,bills,BRANCHLAND,0,null,1,0.90884739
17958,804073,1009899,3000,0.2211,694,690,331.48,0,83.05,G,abbeycare inc,bill loan ,SAINT PAUL,0,null,1,0.908412038
13820,694108,884988,13975,0.1862,699,695,1436.48,0,360.25,F,United States Air Force,Small Business Loan,ogden,0,null,1,0.90537662
25327,1062864,1295344,23975,0.1758,704,700,4401.18,0,603.98,D,Department of Defense,Consolidation,MIRAMAR BEACH,0,null,1,0.905315532
27241,591564,759807,12464.83,0.1756,674,670,719.86,0,362.23,E,Equinox Fitness Clubs,Say Goodbye To Credit Counseling Debt,Astoria,0,5/16/2011,1,0.902033562
13689,689542,879845,4000,0.2122,664,660,927.85,0,108.71,G,Shetler Security Services,Viking Entertainment,Phoenix,0,null,1,0.901466526
12634,660862,829072,24250,0.1261,724,720,3278.82,0,546.94,C,qcd,pool,altamonte springs,0,null,1,0.899980484
19107,834431,1044275,15350,0.1749,684,680,1167.72,0,391.83,D,United States Navy,Personal Loan,chula vista,0,null,1,0.899412165
20131,861835,1074752,17975,0.1649,699,695,2204,0,442.43,D,Bank of America,Personal Loan,Charlotte,0,null,1,0.898751937
18961,831407,1040627,19975,0.1749,699,695,3013.01,0,502.34,D,Omnicare Pharmacy,home improvement,casselberry ,0,null,1,0.898466239
26460,385517,417231,14975,0.179,704,700,2255.52,0,541.5,F,brinks,NEED HELP!!,queens,0,12/2/2009,1,0.896849505
15403,737540,934737,15000,0.1491,704,700,1067.25,0,356.15,D,Davis Vision,Swimming Pool,Henderson,0,null,1,0.896845627
13596,686343,876136,15875,0.1491,729,725,1450.68,0,376.92,D,Despatch Industries,Debt Loan,White Bear Lake,0,null,1,0.895371385
25636,510546,659245,19150,0.1385,699,695,899.11,0,0,C,change 1 child inc,loan,BROOKLYN,0,null,1,0.895057754
13930,697566,888906,17713.89,0.1751,699,695,3021.8,0,503.81,E,Day wireless,Dc,Portland,0,null,1,0.894017872
27054,541148,698556,16050.62,0.1484,704,700,1863.24,0,622.57,D,Hunter Douglas,Credit Card Loan,Lorain,0,3/17/2011,1,0.893253818
16985,779487,982229,17450,0.1649,729,725,2145.35,0,430.14,D,Qinetiq North America,Small Business Loan,fairbanks,0,null,1,0.893223314
23715,1025554,1254711,18650,0.2167,689,685,3678.61,0,511.6,F,U.S. Postal service,Small Business,Pearl City,0,null,1,0.892388823
27037,535733,692211,5000,0.2016,669,665,1594.57,0,132.92,G,"W.W. Grainger, Inc.",Home Mortgage Refinance,Round Lake,0,10/7/2011,1,0.891279101
15069,728866,924588,5000,0.2011,679,675,1610.26,0,132.78,G,CINTAS CORPORATION,Loanclub 2011,Maineville,1,null,1,0.890659742
13068,671416,858334,23975,0.2085,664,660,8781.46,0,320,G,Lucia Mar Unified School District,Deb's plan,avila,0,null,1,0.889717413
18283,812407,1019563,11200,0.2174,664,660,815.31,0,307.68,F,1199SEIU Benefit and Pension Funds,Debt Consolidation,NY,1,null,1,0.888534848
26656,446051,545147,20000,0.1357,714,710,2217.49,0,679.37,C,Hank Aaron Drive Audio Studios,Home Sweet Home,Atlanta,0,5/9/2010,1,0.887318305
20088,860745,1073567,13800,0.1749,714,710,960.31,0,346.62,D,white plains hospital,inneed,bronx,0,null,1,0.883399283
17606,795467,1000206,13575,0.2248,664,660,5237.11,0,379.34,G,Solara Healthcare,lakerpurple,La Feria,0,null,1,0.882414729
14847,723263,918176,13725,0.1825,664,660,1995.44,0,351.04,F,ServiceLink,Debt Consolidation,Rancho Cucamonga ,0,null,1,0.880018361
25153,1059461,1291081,9875,0.1942,674,670,257.99,0,258.46,E,SparkPeople,Credit Card Consolidation,San Diego,0,null,1,0.878256773
12404,655111,837877,18950,0.1602,709,705,3117.32,0,462.25,D,PF Chang's China Bistro,BOA payoff,fort lauderdale,0,null,1,0.877477337
19009,832409,1041792,24975,0.1969,689,685,6305.9,0,658.05,E,"Dept of Corrections, CMC",Mobile Loan,Cayucos,0,null,1,0.875583311
13279,677055,865106,15575,0.164,689,685,2247.91,0,100.15,E,Bluegrass-Oakwood,Debt consolidation loan,Bronston,1,null,1,0.873953064
18331,813780,1021255,11975,0.1879,684,680,1234.24,0,309.91,E,US Postal Service,Finishing Basement,Asheville,0,null,1,0.871721147
9357,586145,753044,10750,0.1682,679,675,888.99,0,297.08,E,DDI,Consolidate,Smithtown,0,null,1,0.866365563
12839,665644,851048,6200,0.2159,664,660,3052.51,0,470.94,G,City of Covington,Small Business Loan,Oxford,0,null,1,0.864795124
13877,696182,887323,15975,0.1602,714,710,2243.6,0,389.26,D,general atomics,consolidation,palmdale,0,null,1,0.863961134
27314,608609,780722,7750,0.204,669,665,3365.4,0,232.68,G,Southern Construction Supply,Shell's Goal,Lake Arthur,0,9/17/2012,1,0.863320101
25768,137757,137499,3174.995847,0.1754,644,640,1878.9,0,376.29,G,Western Extralite,pay off high interest loan,Kansas City,0,5/19/2009,1,0.862759167
22182,980378,1203561,15900,0.1903,734,730,3015.53,0,415.32,E,US Deparment of Labor,Childcare Business,Ann Arbor,0,null,1,0.861336407
17087,782727,985745,16425,0.1807,724,720,2503.26,0,418.35,D,GT Midwest,Debt consolidation,North Kansas City,0,null,1,0.861062987
18230,810683,1017629,14300,0.2025,689,685,2660.35,0,380.86,F,CHENEY BROTHER,Debt Consolidation Loan,WEST PALM BEACH,0,null,1,0.861034615
27088,550162,709171,19900,0.2016,694,690,8203.99,0,531.66,G,Helping Hands,Debt Consolidation,Sacramento,0,3/11/2012,1,0.860994801
21973,975796,1103082,10400,0.2167,684,680,1139.92,0,285.29,F,Law Offices of Zara Jaxavier,Home Improvements,Brooklyn,0,null,1,0.860233955
8201,557710,718036,18725,0.1941,664,660,4426,0,491.94,F,Sayreville Board of Education,debt consolidation,manalapan,0,null,1,0.860139368
18706,823772,1032363,19975,0.2062,679,675,4935.85,0,536.81,F,US Navy,Small Business Loan,South Mills,0,null,1,0.860127628
22536,991987,1216426,20000,0.2089,669,665,4960.89,0,539.84,F,Heywood Hospital,Small Business Loan,Winchendon,0,null,1,0.859531262
16538,767989,969189,17875,0.1649,709,705,3093.58,0,442.43,D,Town of Islip,Loan,farmingville,1,null,1,0.859491881
23162,1009673,1236440,20000,0.1269,729,725,1350.39,0,451.9,B,American Lake Credit Union,Debt Consol,DuPont,0,null,1,0.857314277
21855,972414,1194369,16250,0.1825,684,680,2523.18,0,421.24,D,The Mortgage Banc,Debt Consolidation,Columbus,1,null,1,0.85715343
13022,670462,857135,10174.99654,0.1677,724,720,1307.52,0,655.33,E,Harris NA,Debt Consolidation Loan Request,Gurnee,0,null,1,0.856708453
22394,987428,1211403,10300,0.1629,674,670,363.25,0,363.6,D,conagra foods inc.,bye bye debt.. hi new debt..,greenville,0,null,1,0.853171608
3316,447858,548913,19602.95,0.1114,774,770,1533.03,0,656.07,B,7UP BOTTLING,My First Home,Glendale,0,null,1,0.853122238
24677,1048572,1279521,12000,0.1903,669,665,1638.7,0,311.49,E,Family Preservation services of Fl,On Top,PSL,0,null,1,0.852966748
